Country Name,Regiona,Latitude (generated),Longitude (generated)
Zimbabwe,Sub-Saharan Africa,-19.098,30.047
Zambia,Sub-Saharan Africa,-15.13,25.268
"Yemen, Rep.",Middle East & North Africa,15.569,47.793
West Bank and Gaza,West Bank and Gaza,32.097,35.26
Virgin Islands (U.S.),Virgin Islands (U.S.),17.7289,-64.7592
Vietnam,East Asia & Pacific,21.75,105.373
"Venezuela, RB",Latin America & Caribbean,6.983,-64.588
Vanuatu,East Asia & Pacific,-15.339,166.89
Uzbekistan,Europe & Central Asia,41.757,63.958
Uruguay,Latin America & Caribbean,-32.948,-56.249
United States,North America,40.0792,-98.8164
United Kingdom,Europe & Central Asia,52.289,-1.259
United Arab Emirates,Middle East & North Africa,23.9299,53.9031
Ukraine,Europe & Central Asia,49.364,32.132
Uganda,Sub-Saharan Africa,1.9392,32.7415
Tuvalu,East Asia & Pacific,-7.4786,178.6758
Turks and Caicos Islands,Turks and Caicos Islands,21.7779,-71.7592
Turkmenistan,Europe & Central Asia,39.584,59.597
Turkey,Europe & Central Asia,39.144,34.188
Tunisia,Middle East & North Africa,35.594,9.421
Trinidad and Tobago,Latin America & Caribbean,10.4435,-61.2604
Tonga,East Asia & Pacific,-21.167,-175.19
Togo,Sub-Saharan Africa,7.7,1.106
Timor-Leste,East Asia & Pacific,-8.856,125.556
Thailand,East Asia & Pacific,15.688,100.845
Tanzania,Sub-Saharan Africa,-5.651,34.146
Tajikistan,Europe & Central Asia,38.367,72.597
Syrian Arab Republic,Middle East & North Africa,35.303,38.322
Switzerland,Europe & Central Asia,46.7794,8.0329
Sweden,Europe & Central Asia,66.2188,19
Suriname,Latin America & Caribbean,4.248,-55.848
Sudan,Sub-Saharan Africa,15.739,29.533
St. Vincent and the Grenadines,Latin America & Caribbean,13.2528,-61.1949
St. Martin (French part),St. Martin (French part),18.0848,-63.0507
St. Lucia,Latin America & Caribbean,13.909,-60.9776
St. Kitts and Nevis,Latin America & Caribbean,17.147,-62.58
Sri Lanka,South Asia,7.3,80.727
Spain,Europe & Central Asia,40.617,-3.388
South Sudan,Sub-Saharan Africa,7.1,30.48
South Africa,Sub-Saharan Africa,-31.7,23.441
Somalia,Sub-Saharan Africa,2.875,43.446
Solomon Islands,East Asia & Pacific,-9.5987,160.1487
Slovenia,Europe & Central Asia,46.037,14.534
Slovak Republic,Europe & Central Asia,48.8595,19.4434
Sint Maarten (Dutch part),Sint Maarten (Dutch part),18.034,-63.0544
Singapore,East Asia & Pacific,1.3389,103.8297
Sierra Leone,Sub-Saharan Africa,8.677,-11.779
Seychelles,Sub-Saharan Africa,-4.6841,55.4924
Serbia,Europe & Central Asia,44.021,20.699
Senegal,Sub-Saharan Africa,15.044,-15.081
Saudi Arabia,Middle East & North Africa,24.191,44.32
Sao Tome and Principe,Sub-Saharan Africa,0.216,6.595
San Marino,San Marino,43.942,12.4611
Samoa,East Asia & Pacific,-13.6221,-172.439
Rwanda,Sub-Saharan Africa,-1.887,29.904
Russia,Europe & Central Asia,64.736,104.062
Romania,Europe & Central Asia,45.933,25.119
Qatar,Middle East & North Africa,25.3174,51.1522
Puerto Rico,Puerto Rico,18.242,-66.643
Portugal,Europe & Central Asia,40.957,-7.9373
Poland,Europe & Central Asia,52.442,19.72
Philippines,East Asia & Pacific,17.181,121.256
Peru,Latin America & Caribbean,-12.664,-72.98
Paraguay,Latin America & Caribbean,-23.266,-58.409
Papua New Guinea,East Asia & Pacific,-5.636,142.798
Panama,Latin America & Caribbean,8.348,-81.005
Palau,East Asia & Pacific,7.5288,134.5573
Pakistan,South Asia,28.1854,66.6429
Oman,Middle East & North Africa,19.85,56.25
Norway,Europe & Central Asia,61.3701,9.3031
Northern Mariana Islands,Northern Mariana Islands,15.1905,145.7471
North Macedonia,Europe & Central Asia,41.636,21.676
Nigeria,Sub-Saharan Africa,9.3417,7.678
Niger,Sub-Saharan Africa,16.996,9.915
Nicaragua,Latin America & Caribbean,12.692,-85.03
New Zealand,East Asia & Pacific,-42.558,172.377
New Caledonia,New Caledonia,-21.02,165.062
Netherlands,Europe & Central Asia,52.1704,5.0102
Nepal,South Asia,28.2114,83.5608
Nauru,East Asia & Pacific,-0.5287,166.9315
Namibia,Sub-Saharan Africa,-21.276,17.219
Myanmar,East Asia & Pacific,21.841,96.05
Mozambique,Sub-Saharan Africa,-13.852,38.042
Morocco,Middle East & North Africa,31.129,-7.355
Montenegro,Europe & Central Asia,42.857,19.096
Mongolia,East Asia & Pacific,46.516,102.564
Monaco,Monaco,43.7384,7.4243
Moldova,Europe & Central Asia,47.524,28.444
"Micronesia, Fed. Sts.",East Asia & Pacific,7.531,150.457
Mexico,Latin America & Caribbean,22.925,-101.68
Mauritius,Sub-Saharan Africa,-20.2529,57.5902
Mauritania,Sub-Saharan Africa,19.413,-10.6528
Marshall Islands,East Asia & Pacific,5.961,169.651
Malta,Middle East & North Africa,35.9024,14.4137
Mali,Sub-Saharan Africa,18.211,-2.209
Maldives,South Asia,4.221,73.463
Malaysia,East Asia & Pacific,4.416,102.099
Malawi,Sub-Saharan Africa,-13.2731,33.7428
Madagascar,Sub-Saharan Africa,-19.615,46.645
"Macao SAR, China","Macao SAR, China",22.1404,113.5643
Luxembourg,Europe & Central Asia,49.671,6.113
Lithuania,Europe & Central Asia,55.342,24.23
Liechtenstein,Europe & Central Asia,47.1593,9.547
Libya,Middle East & North Africa,27.24,17.571
Liberia,Sub-Saharan Africa,6.51,-9.33
Lesotho,Sub-Saharan Africa,-29.446,28.371
Lebanon,Middle East & North Africa,34.161,36.021
Latvia,Europe & Central Asia,57.017,25.0173
Lao PDR,East Asia & Pacific,19.595,102.538
Kyrgyz Republic,Europe & Central Asia,41.741,75.043
Kuwait,Middle East & North Africa,29.3169,47.4272
Kosovo,Kosovo,42.546,20.921
"Korea, Rep.",East Asia & Pacific,36.338,128.16
Kiribati,East Asia & Pacific,2.048,-158.59
Kenya,Sub-Saharan Africa,0.806,38.166
Kazakhstan,Europe & Central Asia,48.866,69.772
Jordan,Middle East & North Africa,30.681,36.279
Japan,East Asia & Pacific,35.962,137.855
Jamaica,Latin America & Caribbean,18.163,-77.477
Italy,Europe & Central Asia,44.3713,11.1084
Israel,Middle East & North Africa,30.992,34.834
Isle of Man,Isle of Man,54.2362,-4.5149
Ireland,Europe & Central Asia,53.214,-7.588
Iraq,Middle East & North Africa,33.545,43.278
"Iran, Islamic Rep.",Middle East & North Africa,33.408,54.0418
Indonesia,East Asia & Pacific,-0.739,114.045
India,South Asia,22.741,78.236
Iceland,Europe & Central Asia,64.826,-18.417
Hungary,Europe & Central Asia,47.174,19.618
"Hong Kong SAR, China","Hong Kong SAR, China",22.4114,114.0599
Honduras,Latin America & Caribbean,14.881,-87.123
Haiti,Latin America & Caribbean,19.3175,-72.4205
Guyana,Latin America & Caribbean,5.17,-58.939
Guinea-Bissau,Sub-Saharan Africa,12.191,-14.475
Guinea,Sub-Saharan Africa,10.599,-10.907
Guatemala,Latin America & Caribbean,15.124,-90.711
Guam,Guam,13.45,144.7579
Grenada,Latin America & Caribbean,12.111,-61.6867
Greenland,Greenland,71,-39
Greece,Europe & Central Asia,39.787,21.617
Gibraltar,Gibraltar,36.134,-5.3482
Ghana,Sub-Saharan Africa,7.258,-1.062
Germany,Europe & Central Asia,51.3819,9.9877
Georgia,Europe & Central Asia,42.05,43.576
"Gambia, The",Sub-Saharan Africa,13.499,-14.641
Gabon,Sub-Saharan Africa,-0.406,11.914
French Polynesia,French Polynesia,-17.529,-149.53
France,Europe & Central Asia,46.656,2.543
Finland,Europe & Central Asia,62.716,26.192
Fiji,East Asia & Pacific,-17.7941,177.9783
Faroe Islands,Faroe Islands,62.1252,-7.0174
Ethiopia,Sub-Saharan Africa,8.435,38.786
Eswatini,Sub-Saharan Africa,-26.5203,31.4607
Estonia,Europe & Central Asia,58.777,25.977
Eritrea,Eritrea,15.982,38.02
Equatorial Guinea,Sub-Saharan Africa,1.6342,10.4695
El Salvador,Latin America & Caribbean,13.848,-89.229
"Egypt, Arab Rep.",Middle East & North Africa,26.16,28.742
Ecuador,Latin America & Caribbean,-1.151,-78.308
Dominican Republic,Latin America & Caribbean,19.01,-70.1685
Dominica,Latin America & Caribbean,15.4238,-61.3411
Djibouti,Middle East & North Africa,11.41,42.165
Denmark,Europe & Central Asia,56.113,9.096
Czech Republic,Europe & Central Asia,49.848,15.2812
Cyprus,Europe & Central Asia,34.894,32.928
Curacao,Curacao,12.2129,-69.0407
Cuba,Latin America & Caribbean,20.571,-76.456
Croatia,Europe & Central Asia,45.754,16.385
Cote d'Ivoire,Sub-Saharan Africa,7.497,-5.336
Costa Rica,Latin America & Caribbean,10.126,-84.075
"Congo, Rep.",Sub-Saharan Africa,0.509,16.08
"Congo, Dem. Rep.",Sub-Saharan Africa,-1.418,23.607
Comoros,Sub-Saharan Africa,-11.6527,43.3307
Colombia,Latin America & Caribbean,3.794,-73.606
China,East Asia & Pacific,35.1753,99.3877
Chile,Latin America & Caribbean,-23.176,-69.201
Channel Islands,Channel Islands,49.4632,-2.5827
Chad,Sub-Saharan Africa,15.981,18.781
Central African Republic,Sub-Saharan Africa,7.043,21.424
Cayman Islands,Cayman Islands,19.3299,-81.1715
Canada,North America,59.2067,-111.1937
Cameroon,Sub-Saharan Africa,4.4,12.131
Cambodia,East Asia & Pacific,12.69,104.444
Cabo Verde,Sub-Saharan Africa,15.416,-23.36
Burundi,Sub-Saharan Africa,-3.333,29.749
Burkina Faso,Sub-Saharan Africa,12.673,-1.226
Bulgaria,Europe & Central Asia,42.625,24.521
Brunei Darussalam,East Asia & Pacific,4.452,114.557
British Virgin Islands,British Virgin Islands,18.4204,-64.64
Brazil,Latin America & Caribbean,-11.694,-48.978
Botswana,Sub-Saharan Africa,-22.126,23.662
Bosnia and Herzegovina,Europe & Central Asia,44.342,17.804
Bolivia,Latin America & Caribbean,-16.71,-65.183
Bhutan,South Asia,27.5342,90.3002
Bermuda,Bermuda,32.3019,-64.7737
Benin,Sub-Saharan Africa,10.478,2.274
Belize,Latin America & Caribbean,17.108,-88.744
Belgium,Europe & Central Asia,50.6745,4.4588
Belarus,Europe & Central Asia,53.3292,27.9492
Barbados,Latin America & Caribbean,13.1898,-59.559
Bangladesh,South Asia,24.598,90.1963
Bahrain,Middle East & North Africa,26.025,50.5534
"Bahamas, The",Latin America & Caribbean,24.7032,-78.0455
Azerbaijan,Europe & Central Asia,40.46,47.883
Austria,Europe & Central Asia,47.65,14.705
Australia,East Asia & Pacific,-24.578,133.582
Aruba,Aruba,12.5176,-69.9818
Armenia,Europe & Central Asia,40.56,44.449
Argentina,Latin America & Caribbean,-33.166,-64.31
Antigua and Barbuda,Latin America & Caribbean,17.625,-61.786
Angola,Sub-Saharan Africa,-12.836,17.808
Andorra,Europe & Central Asia,42.5425,1.5893
American Samoa,American Samoa,-14.3018,-170.7511
Algeria,Middle East & North Africa,28.6045,2.64
Albania,Europe & Central Asia,40.654,20.076
Afghanistan,South Asia,34.023,65.5267
